AU;TI;PY;AB;AB_Clean;DI;UT;Country;Field;Subject;Quartile
Yun J.H.J., Won D.K., Park K.B.;Entrepreneurial cyclical dynamics of open innovation;2018;This study addresses the following matters: What is the structure and mechanism of modern capital economic dynamics that motivates the growth limits of capitalism? The modern economy can be modeled as Entrepreneurial Cyclical Dynamics of Open Innovation with three sub-economies such as market open innovation by SMEs and start-ups, closed open innovation by big business, and social open innovation. When there is low balance among the three sub-economies, which is to say, if any of the sub-economies is too big, or too small, the economy dynamics decreases, and the economic growth rate slows down to nearly zero or even negative according to the model simulation. South Korea, with a low internal reserve policy, is in this situation. When there is medium balance among three sub-economies, which is to say, any of the sub-economies is big enough to lead the total economy but is not sufficiently big to control totally the other two economies, the economy dynamics increases and the economic growth rate will be maintained at a high level according to the model simulation. India, with its grassroots innovation festival, demonstrates this situation. When there is a high balance among the three sub-economies, which is to say, the three sub-economies are well balanced and there is no change in the economic system, the economy dynamics become too low and the economic growth rate stays at a low level according to the model simulation. Japan’s Hitachi is moving from this situation to a medium balance. © 2018, Springer-Verlag GmbH Germany, part of Springer Nature.;This study addresses the following matters: What is the structure and mechanism of modern capital economic dynamics that motivates the growth limits of capitalism? The modern economy can be modeled as Entrepreneurial Cyclical Dynamics of Open Innovation with three sub-economies such as market Open Innovation by SMEs and start-ups, closed Open Innovation by big business, and social Open Innovation. When there is low balance among the three sub-economies, which is to say, if any of the sub-economies is too big, or too small, the economy dynamics decreases, and the economic growth rate slows down to nearly zero or even negative according to the model simulation. South Korea, with a low internal reserve policy, is in this situation. When there is medium balance among three sub-economies, which is to say, any of the sub-economies is big enough to lead the total economy but is not sufficiently big to control totally the other two economies, the economy dynamics increases and the economic growth rate will be maintained at a high level according to the model simulation. India, with its grassroots innovation festival, demonstrates this situation. When there is a high balance among the three sub-economies, which is to say, the three sub-economies are well balanced and there is no change in the economic system, the economy dynamics become too low and the economic growth rate stays at a low level according to the model simulation. Japan’s Hitachi is moving from this situation to a medium balance. ;10.1007/s00191-018-0596-y;2-s2.0-85056871792;South Korea;"Business, Management and Accounting; Economics, Econometrics and Finance";Social Sciences & Humanities;Q1
Lee S., Lee H., Lee C.;Open innovation at the national level: Towards a global innovation system;2020;This study addresses the issue of international technology collaboration by proposing a framework for establishing national-level strategies. A multi-level strategic framework that helps a country to develop a collaboration strategy with another country at three different levels is proposed. The nature of the collaboration is investigated with respect to attractiveness at the macro-level (market and technology attractiveness), closeness at the meso-level (degree of existing relationships between the two countries), and strategy at the micro-level (collaboration targets and modes). © 2019 Elsevier Inc.;This study addresses the issue of international technology collaboration by proposing a framework for establishing national-level strategies. A multi-level strategic framework that helps a country to develop a collaboration strategy with another country at three different levels is proposed. The nature of the collaboration is investigated with respect to attractiveness at the macro-level (market and technology attractiveness), closeness at the meso-level (degree of existing relationships between the two countries), and strategy at the micro-level (collaboration targets and modes). ;10.1016/j.techfore.2019.119842;2-s2.0-85075893064;South Korea;"Business, Management and Accounting; Psychology";Social Sciences & Humanities;Q1
Manville G., Karakas F., Polkinghorne M., Petford N.;Supporting open innovation with the use of a balanced scorecard approach: a study on deep smarts and effective knowledge transfer to SMEs;2019;This study aims to develop the theory of knowledge management and organizational performance within a small and medium enterprise (SME) context using action research (AR) involving a higher education institution (HEI) and an SME. The vehicle for the knowledge exchange was Knowledge Transfer Partnerships (KTPs), the United Kingdom’s primary mechanism for delivering government funded knowledge transfer to small and medium enterprises (SMEs). KTPs facilitate knowledge exchange from HEIs to SMEs via the recruitment of a graduate plus an academic supervisor from the partnering HEI. The AR study was an award-winning KTP and the project deliverable included the implementation of a balanced scorecard for the SME to improve organizational performance. The transfer of knowledge was subsequently fed-back into the university in order to develop a performance framework for measuring the effectiveness of KTP research within the HEI in order to share knowledge and improve effective for other KTP projects. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.;This study aims to develop the theory of knowledge management and organizational performance within a small and medium enterprise (SME) context using action research (AR) involving a higher education institution (HEI) and an SME. The vehicle for the knowledge exchange was Knowledge Transfer Partnerships (KTPs), the United Kingdom’s primary mechanism for delivering government funded knowledge transfer to small and medium enterprises (SMEs). KTPs facilitate knowledge exchange from HEIs to SMEs via the recruitment of a graduate plus an academic supervisor from the partnering HEI. The AR study was an award-winning KTP and the project deliverable included the implementation of a balanced scorecard for the SME to improve organizational performance. The transfer of knowledge was subsequently fed-back into the university in order to develop a performance framework for measuring the effectiveness of KTP research within the HEI in order to share knowledge and improve effective for other KTP projects. ;10.1080/09537287.2019.1582093;2-s2.0-85068202956;United Kingdom;"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering";Social Sciences & Humanities;Q1
Liem N.T., Khuong N.V., Khanh T.H.T.;Firm constraints on the link between proactive innovation, open innovation and firm performance;2019;This study aims to examine the impacts of firm constraints and proactive innovation on firm performance, using a sample of 3504 small and medium enterprises (SMEs) in Vietnam from 2011-2015. Our findings suggest that technological innovations in general are beneficial to firm performance, increasing firm sales and profits. Further filtering innovations into two categories of proactive and reactive ones, we find that reactive innovation negatively affects firm performance, consistent with the view that proactive entrepreneurial behavior is a highly sought-after characteristic or a valuable resource for a firm as specified in resources-based theory. Finally, our result implies that if firms have low constraint or have sufficient resources, proactive strategies should be the choice if firms seek to improve their performance. © 2019 by the authors.;This study aims to examine the impacts of firm constraints and proactive innovation on firm performance, using a sample of 3504 small and medium enterprises (SMEs) in Vietnam from 2011-2015. Our findings suggest that technological innovations in general are beneficial to firm performance, increasing firm sales and profits. Further filtering innovations into two categories of proactive and reactive ones, we find that reactive innovation negatively affects firm performance, consistent with the view that proactive entrepreneurial behavior is a highly sought-after characteristic or a valuable resource for a firm as specified in resources-based theory. Finally, our result implies that if firms have low constraint or have sufficient resources, proactive strategies should be the choice if firms seek to improve their performance. ;10.3390/joitmc5040088;2-s2.0-85076860643;Viet Nam;"Economics, Econometrics and Finance; Social Sciences";Social Sciences & Humanities;Q1
Nobakht M., Hejazi S.R., Akbari M., Sakhdari K.;Exploring the relationship between open innovation and organisational ambidexterity: the moderating effect of entrepreneurial orientation;2021;This study aims to examine the relationship between open innovation (OI), organisational ambidexterity (OA), and entrepreneurial orientation (EO). Since OA is central to the short and long-term survival of the firm, there is an enormous interest in investigating organisational mechanisms for achieving higher levels of OA. Prior studies have mostly concentrated on ‘internal’ mechanisms, and less attention has been given to how open innovation practices can promote OA. Our observation of 214 Iran knowledge-intensive firms indicates that OI, entailing inbound and outbound open innovation activities, significantly enhances OA. Yet, contrary to our expectation, EO negatively moderates the relationship between OI and OA in the developing context of Iran. This provides compelling insights into how an open innovation approach can compensate the necessity of risky and proactive entrepreneurial activities in the less developed institutional contexts where institutional voids enhance the costs and risks of entrepreneurial initiatives. The discussion finally suggests the theoretical and managerial implications of the study and future directions. © 2020 Informa UK Limited, trading as Taylor & Francis Group.;This study aims to examine the relationship between Open Innovation, organisational ambidexterity (OA), and entrepreneurial orientation (EO). Since OA is central to the short and long-term survival of the firm, there is an enormous interest in investigating organisational mechanisms for achieving higher levels of OA. Prior studies have mostly concentrated on ‘internal’ mechanisms, and less attention has been given to how Open Innovation practices can promote OA. Our observation of 214 Iran knowledge-intensive firms indicates that OI, entailing inbound and outbound Open Innovation activities, significantly enhances OA. Yet, contrary to our expectation, EO negatively moderates the relationship between OI and OA in the developing context of Iran. This provides compelling insights into how an Open Innovation approach can compensate the necessity of risky and proactive entrepreneurial activities in the less developed institutional contexts where institutional voids enhance the costs and risks of entrepreneurial initiatives. The discussion finally suggests the theoretical and managerial implications of the study and future directions. ;10.1080/14479338.2020.1758566;2-s2.0-85084268243;Iran;Business, Management and Accounting;Social Sciences & Humanities;Q1
Jeong H., Shin K., Kim E., Kim S.;Does open innovation enhance a large firm’s financial sustainability? A case of the Korean food industry;2020;This study aims to explore whether a firm’s financial sustainability is enhanced by open innovation especially after a global financial crisis. There are few studies on the relationship between open innovation and financial sustainability. This study aimed to fill the literature gap by analyzing the change in the financial ratio according to the increase or decrease in open innovation. We used a case study method regarding large Korean food firms. Korea is a latecomer in the food industry, which is driven by large companies. This study is meaningful for financial sustainability studies of countries with a lack of resources and small market size, which require open innovation. The findings of this study are as follows: The most preferred alliance strategy of large food firms is joint research. In order to secure raw materials and markets, open innovation was actively conducted abroad, which increased growth and profitability. However, a firm which rarely adopts open innovation could grow steadily through internal strategies. On the other hand, although relatively many open innovations have been used, growth and profitability could decrease. Firms with sufficient absorptive capacity strengthen financial sustainability through open innovation. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.;This study aims to explore whether a firm’s financial sustainability is enhanced by Open Innovation especially after a global financial crisis. There are few studies on the relationship between Open Innovation and financial sustainability. This study aimed to fill the literature gap by analyzing the change in the financial ratio according to the increase or decrease in Open Innovation. We used a case study method regarding large Korean food firms. Korea is a latecomer in the food industry, which is driven by large companies. This study is meaningful for financial sustainability studies of countries with a lack of resources and small market size, which require Open Innovation. The findings of this study are as follows: The most preferred alliance strategy of large food firms is joint research. In order to secure raw materials and markets, Open Innovation was actively conducted abroad, which increased growth and profitability. However, a firm which rarely adopts Open Innovation could grow steadily through internal strategies. On the other hand, although relatively many Open Innovations have been used, growth and profitability could decrease. Firms with sufficient absorptive capacity strengthen financial sustainability through Open Innovation. ;10.3390/joitmc6040101;2-s2.0-85093675942;South Korea;"Economics, Econometrics and Finance; Social Sciences";Social Sciences & Humanities;Q1
Mention A.-L.;Co-operation and co-opetition as open innovation practices in the service sector: Which influence on innovation novelty?;2011;This study aims to identify the influence of co-operation practices and the use of internal and external information sources on the propensity of firms to introduce new to the market innovations in the service sector. Data come from the 4th Community Innovation Survey, which covers the years 20022004. A logistic regression model is applied with the degree of novelty of good/service innovation as dependent variable. The analysis of the parameter estimates shows that firms provided with information from market sources and from internal sources as well as firms involved in science-based collaboration for their product innovations are more likely to introduce new to the market innovations, whereas information coming from competitors seems to have a negative influence on the degree of novelty of innovation. © 2010 Elsevier Ltd. All rights reserved.;This study aims to identify the influence of co-operation practices and the use of internal and external information sources on the propensity of firms to introduce new to the market innovations in the service sector. Data come from the 4th Community Innovation Survey, which covers the years 20022004. A logistic regression model is applied with the degree of novelty of good/service innovation as dependent variable. The analysis of the parameter estimates shows that firms provided with information from market sources and from internal sources as well as firms involved in science-based collaboration for their product innovations are more likely to introduce new to the market innovations, whereas information coming from competitors seems to have a negative influence on the degree of novelty of innovation. ;10.1016/j.technovation.2010.08.002;2-s2.0-78649730613;Luxembourg;"Business, Management and Accounting; Engineering";Social Sciences & Humanities;Q1
Suh Y., Kim M.-S.;Effects of SME collaboration on R&D in the service sector in open innovation;2012;This study analyses the effects of four types of collaborative activities on the R&D performance of service SMEs in the context of open innovation: in-house R&D (non-collaboration), technology acquisition, R&D collaboration, and networking. For this, the study employs data envelopment analysis, a power tool that uses multiple inputs and outputs to measure the relative efficiency of collaborative activities of service SMEs for R&D. The results indicate that technology acquisition is the most efficient type of collaboration for R&D of service SMEs. More specifically, in-house R&D, technology acquisition, and R&D collaboration are positively related to product/service innovation, patenting activity, and process innovation, respectively. However, networking is not significantly related to any three types of R&D performance. In addition, the service SMEs' strategic focus did not match their strategic purposes, suggesting a need for adjusting their collaborative activities. The results have important implications for managers and policy-makers interested in facilitating open innovation in service SMEs through various collaborative activities. © eContent Management Pty Ltd.;This study analyses the effects of four types of collaborative activities on the R&D performance of service SMEs in the context of Open Innovation: in-house R&D (non-collaboration), technology acquisition, R&D collaboration, and networking. For this, the study employs data envelopment analysis, a power tool that uses multiple inputs and outputs to measure the relative efficiency of collaborative activities of service SMEs for R&D. The results indicate that technology acquisition is the most efficient type of collaboration for R&D of service SMEs. More specifically, in-house R&D, technology acquisition, and R&D collaboration are positively related to product/service innovation, patenting activity, and process innovation, respectively. However, networking is not significantly related to any three types of R&D performance. In addition, the service SMEs' strategic focus did not match their strategic purposes, suggesting a need for adjusting their collaborative activities. The results have important implications for managers and policy-makers interested in facilitating Open Innovation in service SMEs through various collaborative activities. ;10.5172/impp.2012.14.3.349;2-s2.0-84870542293;South Korea;Business, Management and Accounting;Social Sciences & Humanities;Q1
Theyel N.;Extending open innovation throughout the value chain by small and medium-sized manufacturers;2013;This study assesses the adoption of open innovation practices during different value chain activities and measures its effect on product and process innovation. Based on a quantitative survey of 293 US small and medium-sized manufacturing companies the empirical research results suggest a broad use of open innovation practices with customers and suppliers throughout the firm's value chain. Strong interrelationships between open innovation practices along with the varied impact of open innovation practices on product and process innovation performance are presented and discussed. Overall, the study expands the understanding of open innovation beyond its traditional research and development focus, and highlights the importance of a stronger focus on selection of practices and partners for the effectiveness of open innovation. © The Author(s) 2012.;This study assesses the adoption of Open Innovation practices during different value chain activities and measures its effect on product and process innovation. Based on a quantitative survey of 293 US small and medium-sized manufacturing companies the empirical research results suggest a broad use of Open Innovation practices with customers and suppliers throughout the firm's value chain. Strong interrelationships between Open Innovation practices along with the varied impact of Open Innovation practices on product and process innovation performance are presented and discussed. Overall, the study expands the understanding of Open Innovation beyond its traditional research and development focus, and highlights the importance of a stronger focus on selection of practices and partners for the effectiveness of Open Innovation. ;10.1177/0266242612458517;2-s2.0-84876576538;United Kingdom;Business, Management and Accounting;Social Sciences & Humanities;Q1
Adam A.M.;Susceptibility of stock market returns to international economic policy: Evidence from effective transfer entropy of africa with the implication for open innovation;2020;This study contributes to the scant finance literature on information flow from international economic policy uncertainty to emerging stock markets in Africa, using daily US economic policy uncertainty as a proxy and the daily stock market index for Botswana, Egypt, Ghana, Kenya, Morocco, Nigeria, Namibia, South Africa, and Zambia from 31 December 2010 to 27 May 2020, using the Renyi effective transfer entropy. International economic policy uncertainty transmits significant information to Egypt, Ghana, Morocco, Namibia, and South Africa, and insignificant information to Botswana, Kenya, Nigeria, and Zambia. The asymmetry in the information transfer tends to make the African market an alternative for the diversification of international portfolios when the uncertainty of the global economic policy is on the rise. The findings also have implications for the adoption of open innovation in African stock markets. © 2020 by the authors.;This study contributes to the scant finance literature on information flow from international economic policy uncertainty to emerging stock markets in Africa, using daily US economic policy uncertainty as a proxy and the daily stock market index for Botswana, Egypt, Ghana, Kenya, Morocco, Nigeria, Namibia, South Africa, and Zambia from 31 December 2010 to 27 May 2020, using the Renyi effective transfer entropy. International economic policy uncertainty transmits significant information to Egypt, Ghana, Morocco, Namibia, and South Africa, and insignificant information to Botswana, Kenya, Nigeria, and Zambia. The asymmetry in the information transfer tends to make the African market an alternative for the diversification of international portfolios when the uncertainty of the global economic policy is on the rise. The findings also have implications for the adoption of Open Innovation in African stock markets. ;10.3390/joitmc6030071;2-s2.0-85091846799;Ghana;"Economics, Econometrics and Finance; Social Sciences";Social Sciences & Humanities;Q1
Lee S.-D., Kwon S.-S.;Carbon sequestration in the urban areas of Seoul with climate change: Implication for open innovation in environmental industry;2018;This study estimates the impact of potential climate change, and human interference (anthropogenic deforestation), on temperate forest carbon pool change in the capital area of South Korea, using a dynamic global vegetation model (DGVM). Additionally, the characteristics of forest carbon pool change were simulated based on a biogeochemical module. The change of atmospheric carbon dioxide (CO2) concentration is deeply related to the change of the forest carbon pool, which is estimated with the measures of Net Primary Productivity (NPP), and Soil Carbon Storage (SCS). NPP and SCS were estimated at 2.02-7.43 tC ha-1 year-1 and 34.55-84.81 tC ha-1, respectively, during the period 1971-2000. SCS showed a significant decreasing tendency under the conditions of increasing air temperature, and precipitation, in the near future (2021-2050), and far future (2071-2100), which were simulated with future-climate scenario data without any human interference. Besides, it is estimated that the temporal change in NPP indicates only a small decrease, which is little influenced by potential climate change. In the case of potential climate change plus human interference, the decrease rate of NPP and SCS were simulated at 17-33% and 21-46%, respectively, during 2000-2100. Furthermore, the effect of potential human interference contributes to 83-93% and 61-54% of the decrease rate of NPP and SCS, respectively. The decline in the forest carbon pool simulated in this study can play a positive role in increasing atmospheric carbon dioxide. Consequently, the effect of potential human interference can further accelerate the decline of the temperate forest carbon pool. For the effective reduction of carbon dioxide emissions in urbanizing areas, it would be more effective to control human interference. Consequently, this study suggests that a rate of reforestation corresponding to the deforestation rate should be at least maintained, with long term monitoring and modeling-related studies, against climate change problems. © 2018 by the authors.;This study estimates the impact of potential climate change, and human interference (anthropogenic deforestation), on temperate forest carbon pool change in the capital area of South Korea, using a dynamic global vegetation model (DGVM). Additionally, the characteristics of forest carbon pool change were simulated based on a biogeochemical module. The change of atmospheric carbon dioxide (CO2) concentration is deeply related to the change of the forest carbon pool, which is estimated with the measures of Net Primary Productivity (NPP), and Soil Carbon Storage (SCS). NPP and SCS were estimated at 2.02-7.43 tC ha-1 year-1 and 34.55-84.81 tC ha-1, respectively, during the period 1971-2000. SCS showed a significant decreasing tendency under the conditions of increasing air temperature, and precipitation, in the near future (2021-2050), and far future (2071-2100), which were simulated with future-climate scenario data without any human interference. Besides, it is estimated that the temporal change in NPP indicates only a small decrease, which is little influenced by potential climate change. In the case of potential climate change plus human interference, the decrease rate of NPP and SCS were simulated at 17-33% and 21-46%, respectively, during 2000-2100. Furthermore, the effect of potential human interference contributes to 83-93% and 61-54% of the decrease rate of NPP and SCS, respectively. The decline in the forest carbon pool simulated in this study can play a positive role in increasing atmospheric carbon dioxide. Consequently, the effect of potential human interference can further accelerate the decline of the temperate forest carbon pool. For the effective reduction of carbon dioxide emissions in urbanizing areas, it would be more effective to control human interference. Consequently, this study suggests that a rate of reforestation corresponding to the deforestation rate should be at least maintained, with long term monitoring and modeling-related studies, against climate change problems. ;10.3390/joitmc4040048;2-s2.0-85058321943;South Korea;"Economics, Econometrics and Finance; Social Sciences";Social Sciences & Humanities;Q1
Cheah S.L.-Y., Ho Y.-P.;Effective industrial policy implementation for open innovation: The role of government resources and capabilities;2020;This study examines how the implementation of industrial policy through public research and development funding impacts the outcome of open innovation collaboration between public research institutes and firms. Based on empirical study of 153 public-private technology transfer projects in the context of Singapore economy and its biotechnology sector, we found that project funding significantly and positively influences their innovation collaboration outcome. We established that public research institutes’ top management team' capability in portfolio management partially mediates the conversion of project funding into innovation collaboration outcome. © 2019;This study examines how the implementation of industrial policy through public research and development funding impacts the outcome of Open Innovation collaboration between public research institutes and firms. Based on empirical study of 153 public-private technology transfer projects in the context of Singapore economy and its biotechnology sector, we found that project funding significantly and positively influences their innovation collaboration outcome. We established that public research institutes’ top management team' capability in portfolio management partially mediates the conversion of project funding into innovation collaboration outcome. ;10.1016/j.techfore.2019.119845;2-s2.0-85075719343;Singapore;"Business, Management and Accounting; Psychology";Social Sciences & Humanities;Q1
Al-Belushi K.I.A., Stead S.M., Burgess J.G.;The development of marine biotechnology in Oman: Potential for capacity building through open innovation;2015;This study examines the current state of the art in the emerging and strategically important marine biotechnology sector in Oman, which has a long coastline, rich marine heritage and strong fishing industry. In a knowledge-based economy, the ability to innovate is a key factor for increasing organisational competitiveness and this may be achieved using open innovation. This is the use by firms of external knowledge, ideas and technology to innovate. In this study, the extent of open innovation in Omani marine bioindustry companies has been studied by examining data from the top sixteen companies ranked by number of employees. The results indicate that the extent of openness in these companies is higher towards market side activities. In addition, the use of open innovation to increase collaboration between companies, Universities and government research institutes needs to be significantly strengthened. © 2015 The Authors.;This study examines the current state of the art in the emerging and strategically important marine biotechnology sector in Oman, which has a long coastline, rich marine heritage and strong fishing industry. In a knowledge-based economy, the ability to innovate is a key factor for increasing organisational competitiveness and this may be achieved using Open Innovation. This is the use by firms of external knowledge, ideas and technology to innovate. In this study, the extent of Open Innovation in Omani marine bioindustry companies has been studied by examining data from the top sixteen companies ranked by number of employees. The results indicate that the extent of openness in these companies is higher towards market side activities. In addition, the use of Open Innovation to increase collaboration between companies, Universities and government research institutes needs to be significantly strengthened. ;10.1016/j.marpol.2015.03.001;2-s2.0-84927710652;United Kingdom;"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences";Social Sciences & Humanities;Q1
"Sims, J; Gichoya, J; Bhardwaj, G; Bogers, M";Write Code, Save Lives: How a Community Uses Open Innovation to Address a Societal Challenge;2019;This study explores how a community uses open innovation over time to tackle a global societal challenge. we conduct an in-depth case study of OpenMRS, an open-source software community providing affordable medical record-keeping software in developing nations. We develop a process model that describes how inbound, outbound, and coupled open innovation influenced the community through four discrete phases of community development. We explain how the founders' vision led to the creation of the community, and how increasing community participation and community governance facilitated its growth. Interestingly, we found that economic opportunities made possible by open innovation may paradoxically create challenges to community sustainability. Ultimately, this study expands our understanding of open innovation communities in different settings, and their role in addressing societal challenges.;This study explores how a community uses Open Innovation over time to tackle a global societal challenge. we conduct an in-depth case study of OpenMRS, an open-source software community providing affordable medical record-keeping software in developing nations. We develop a process model that describes how inbound, outbound, and coupled Open Innovation influenced the community through four discrete phases of community development. We explain how the founders' vision led to the creation of the community, and how increasing community participation and community governance facilitated its growth. Interestingly, we found that economic opportunities made possible by Open Innovation may paradoxically create challenges to community sustainability. Ultimately, this study expands our understanding of Open Innovation communities in different settings, and their role in addressing societal challenges.;10.1111/radm.12338;WOS:000469399500007;UNITED STATES;Business, Management and Accounting;Social Sciences & Humanities;Q1
Frey K., Lüthje C., Haag S.;Whom should firms attract to open innovation platforms? The role of knowledge diversity and motivation;2011;This study explores how the motivation and knowledge of individuals participating in innovation projects broadcast on the Internet affect their contribution performance. By analyzing a data set that combines information from the content analysis of postings and matched survey data from contributors, we find that extrinsic and intrinsic motivations affect the number of different types of contributions to solution threads. While extrinsic desire for monetary rewards tends to be positively related to the making of non-substantial contributions, intrinsic enjoyment tends to breed more substantial postings, and knowledge diversity facilitates all types of contributions to open innovation projects. This study also finds support for interaction effects between motivation and knowledge diversity. We identify the most valuable contributors as those who combine high levels of intrinsic enjoyment in contributing with a cognitive base fed from diverse knowledge domains. Our research complements emerging findings on the individual performance of external problem solvers in crowdsourcing and broadcast search. The findings will be useful for platform managers striving to attract potentially valuable participants to ensure high levels of substantial contributions to innovation challenges. © 2011 Elsevier Ltd.;This study explores how the motivation and knowledge of individuals participating in innovation projects broadcast on the Internet affect their contribution performance. By analyzing a data set that combines information from the content analysis of postings and matched survey data from contributors, we find that extrinsic and intrinsic motivations affect the number of different types of contributions to solution threads. While extrinsic desire for monetary rewards tends to be positively related to the making of non-substantial contributions, intrinsic enjoyment tends to breed more substantial postings, and knowledge diversity facilitates all types of contributions to Open Innovation projects. This study also finds support for interaction effects between motivation and knowledge diversity. We identify the most valuable contributors as those who combine high levels of intrinsic enjoyment in contributing with a cognitive base fed from diverse knowledge domains. Our research complements emerging findings on the individual performance of external problem solvers in crowdsourcing and broadcast search. The findings will be useful for platform managers striving to attract potentially valuable participants to ensure high levels of substantial contributions to innovation challenges. ;10.1016/j.lrp.2011.09.006;2-s2.0-81055156056;Switzerland;"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences";Social Sciences & Humanities;Q1
Le T., Hoque A., Hassan K.;An open innovation intraday implied volatility for pricing australian dollar options;2021;This study introduces the intraday implied volatility (IV) for pricing the Australian dollar (AUD) options. The IV is estimated using the at-the-money one-month, two-month, and three-month maturity AUD options traded in the opening, midday, and closing period of a trading day. The Mincer-Zarnowitz regression test evaluates the predictive power of IV to forecast the foreign exchange volatility for the within-week, one-week, and one-month horizon. The mean absolute error, mean squared error, and root mean squared error measures are employed to assess the performance of IV in estimating the price of currency options for the within-week, one-week, and one-month horizon. This study reveals four critical findings. First, a three-month maturity IV does not contain vital information for pricing options. Second, IV incorporated information is not relevant to compute the value of options for a horizon of less than a week. Third, IV in the closing period of Monday or Tuesday subsumes most of the essential information to estimate options price. Fourth, the shorter (longer) maturity IV provides critical information to price options for the shorter (longer) horizon. The intraday IV is a new dimension of unobservable volatility in accurately pricing currency options for researchers and practitioners. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.;This study introduces the intraday implied volatility (IV) for pricing the Australian dollar (AUD) options. The IV is estimated using the at-the-money one-month, two-month, and three-month maturity AUD options traded in the opening, midday, and closing period of a trading day. The Mincer-Zarnowitz regression test evaluates the predictive power of IV to forecast the foreign exchange volatility for the within-week, one-week, and one-month horizon. The mean absolute error, mean squared error, and root mean squared error measures are employed to assess the performance of IV in estimating the price of currency options for the within-week, one-week, and one-month horizon. This study reveals four critical findings. First, a three-month maturity IV does not contain vital information for pricing options. Second, IV incorporated information is not relevant to compute the value of options for a horizon of less than a week. Third, IV in the closing period of Monday or Tuesday subsumes most of the essential information to estimate options price. Fourth, the shorter (longer) maturity IV provides critical information to price options for the shorter (longer) horizon. The intraday IV is a new dimension of unobservable volatility in accurately pricing currency options for researchers and practitioners. ;10.3390/joitmc7010023;2-s2.0-85100116649;Australia;"Economics, Econometrics and Finance; Social Sciences";Social Sciences & Humanities;Q1
Kang S., Hwang J.;An investigation into the performance of an ambidextrously balanced innovator and its relatedness to open innovation;2019;This study investigated the relationship between open innovation and the radicalness of innovation. The balance between radical and incremental innovation is an essential part of the ambidextrous use of explorative and exploitative strategies, and this study assumed that open innovation is usually interlinked with explorative strategies and is thus related to radical innovation performance. Accordingly, following an empirical investigation, we demonstrate that the balance of open innovation firms is slightly skewed toward explorative radical innovation. Using the Korean version of the community innovation survey, we show that the relative radicalness that is projected on innovation output exhibits an inverted-U curve. Furthermore, the curve shifts based on the level of inbound open innovation. Our results suggest that there is an ambidextrous balance between radical and incremental innovation while implementing open innovation. In addition, the research results imply that firms placing greater weight on explorative radical innovations need to consider in-depth open innovation strategies. © 2019 by the authors.;This study investigated the relationship between Open Innovation and the radicalness of innovation. The balance between radical and incremental innovation is an essential part of the ambidextrous use of explorative and exploitative strategies, and this study assumed that Open Innovation is usually interlinked with explorative strategies and is thus related to radical innovation performance. Accordingly, following an empirical investigation, we demonstrate that the balance of Open Innovation firms is slightly skewed toward explorative radical innovation. Using the Korean version of the community innovation survey, we show that the relative radicalness that is projected on innovation output exhibits an inverted-U curve. Furthermore, the curve shifts based on the level of inbound Open Innovation. Our results suggest that there is an ambidextrous balance between radical and incremental innovation while implementing Open Innovation. In addition, the research results imply that firms placing greater weight on explorative radical innovations need to consider in-depth Open Innovation strategies. ;10.3390/joitmc5020023;2-s2.0-85066477890;South Korea;"Economics, Econometrics and Finance; Social Sciences";Social Sciences & Humanities;Q1
Ooms W., Bell J., Kok R.A.W.;Use of Social Media in Inbound Open Innovation: Building Capabilities for Absorptive Capacity;2015;This study investigates the effects of the use of social media in inbound open innovation on capabilities for absorptive capacity of companies. Seven explorative case studies were conducted in an R&D and business context of two large global high-tech companies. The results suggest that if the necessary conditions are met, social media usage increases the transparent, moderational and multi-directional interactions that in turn influence four capabilities for absorptive capacity: connectedness, socialization tactics, cross-functionality and receptivity, a hitherto overlooked capability. Hence, we observe that social media are boundary-spanning tools that can be used to build and increase companies' absorptive capacity. Copyright © 2015 John Wiley & Sons Ltd.;This study investigates the effects of the use of social media in inbound Open Innovation on capabilities for absorptive capacity of companies. Seven explorative case studies were conducted in an R&D and business context of two large global high-tech companies. The results suggest that if the necessary conditions are met, social media usage increases the transparent, moderational and multi-directional interactions that in turn influence four capabilities for absorptive capacity: connectedness, socialization tactics, cross-functionality and receptivity, a hitherto overlooked capability. Hence, we observe that social media are boundary-spanning tools that can be used to build and increase companies' absorptive capacity.  ;10.1111/caim.12105;2-s2.0-84923014540;Netherlands;Business, Management and Accounting;Social Sciences & Humanities;Q1
