Abstract;Ref
"Drawing upon the knowledge-based view, this study divides firm knowledge-processing capability (KPC) into market and technical knowledge-processing capabilities, and examines the moderating effect of social media use and two knowledge-processing capabilities on customer participation (CP) in new product development (NPD). The results show that social media use enhances the effect of customer participation on NPD performance (product innovativeness, market performance, and financial performance); firms' two key capabilities (market knowledge-processing capability and technical knowledge-processing capability) further strengthen the moderating effect of social media use. Furthermore, the effect of customer participation on product innovativeness follows an inverted U-shape. This study not only confirms the crucial role of social media use and firm capabilities in customer participation in NPD but also provides firms with theoretical direction for how to use social media.";Ref069
In collaborative crowdsourcing communities for open innovation, users generate and submit ideas as idea co-creators. Firms then select and implement valuable ideas for new product development. Despite the popularity and success of these open innovation communities, relatively little is known about the factors that determine the implementation of the user-generated ideas. Based on research on individual creativity, we propose a conceptual model integrating users' previous experience, idea presentation characteristics and feedback valence to explain the likelihood of idea implementation. We validate our research model with a panel data analysis of 43 550 ideas submitted by 16 360 users in the MIUI new product development community hosted by Xiaomi, a large electronics manufacturing company in China. We find an inverted U-shaped relationship between users' past successful experience and idea implementation. Furthermore, the length of ideas is positively associated with the likelihood of idea implementation. There is also an inverted U-shaped relationship between supporting evidence and idea implementation. Finally, we demonstrate the negative effect of positive feedback and the positive effect of negative feedback on idea implementation. These findings offer rich insights to understand the phenomenon of open innovation better. Theoretical and practical implications are discussed.;Ref070
Purpose The purpose of this paper is to verify the relationship between the features of social media and knowledge sharing, and to examine how ambient awareness mediates this relationship. Design/methodology/approach An experiment is designed to stimulate the knowledge work in a famous Chinese business college and 156 valid samples were obtained. AMOS was used in this paper to examine the theoretical model. Findings There is a correlation among features of social media, ambient awareness and knowledge sharing. Surprisingly, network translucence, which indicates individuals' meta-knowledge of others' connections, has no influence on knowledge sharing. Although this is inconsistent with conjecture of the existing literature, it can be well explained by the phenomenon in real life, such as privacy setting in social media. Originality/value This paper proposes that ambient awareness is the mediator of the effect path between communication and knowledge sharing. And the status perception of coworkers' exchanging information is closely related to knowledge sharing.;Ref071
This research focuses on how the tourism and hospitality industry is applying the paradigm of open innovation, supported by social media. Open innovation (OI) has been on the topical research agenda, but the previous literature lacks studies in the service sector and specifically for tourism companies. Moreover, the introduction of social media as a tool to implement open innovation is considered the main research gap. Structural equation modelling is applied to data from 181 Portuguese and Spanish companies to study both customer involvement in new product development and the perceptions and results in terms of turnover and competitiveness. The structure of the relationships between research and development, external openness and open innovation management is highlighted with statistical analysis. In addition, the introduction of social media adds value to the proposed model. Currently, there is a lack of available models to give structure to the OI paradigm and to allow us to manage it. The contribution of this research is a comparison of the explanatory power of three models that allow us to test how certain strategic guidelines in tourism companies influence each other and have a mediating or multiplier effect when linked to each other (nested models method). In conclusion, the originality of this research is based on the relationship between open innovation management and social media and the mediating effect of external openness.;Ref072
We discuss ICT for Open Innovation (OI) from a capabilities perspective. We distinguish two types of capabilities for OI: strategic, which need to be developed so that the organization can take advantage of an OI strategy proactively, and operational for the efficient implementation of OI processes. ICT at the strategic level supports dynamic capabilities and related cognitive processes of managerial staff for developing and using the appropriate level of absorptive capacity and active transparency, whereas ICT as part of operational capabilities aims at enhancing the day-to-day performance of OI activities. Through analysis of capabilities, we associate specific ICT with the functionalities required in the entire OI process. Paying particular attention to the issues of collaboration and sophisticated data analysis, we also comment on the seamless integration of these technologies and their embedment in OI-related organizational processes. (C) 2018 Journal of Innovation & Knowledge. Published by Elsevier Espana, S.L.U. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).;Ref073
Purpose The purpose of this paper is to examine how communication practices influence individuals' team assembly and performance in open innovation contests. Design/methodology/approach This study analyzed behavioral trace data of 4,651 teams and 19,317 participants from a leading open innovation platform, Kaggle. The analyses applied weighted least squares regression and weighted mediation analysis. Findings Sharing online profiles positively relates to a person's performance and likelihood of becoming a leader in open innovation teams. Team assembly effectiveness (one's ability to team up with high-performing teammates) mediates the relationship between online profile sharing and performance. Moreover, sharing personal websites has a stronger positive effect on performance and likelihood of becoming a team leader, compared to sharing links to professional social networking sites (e.g. LinkedIn). Practical implications Open innovation organizers should encourage online profile sharing among participants to facilitate effective team assembly in order to improve innovation outcomes. Originality/value The current study highlights the importance of team assembly in open innovation, especially the role of sharing online profiles in this process. It connects two areas of research that are previously distant, one on team assembly and one on online profile sharing. It also adds new empirical evidence to the discussion about online information credibility.;Ref074
"Purpose The purpose of this study is to offer implications and future research directions related to new organizational forms like crowds. Organizations are increasingly relying on online crowds to innovate through mechanisms such as crowdsourcing, open innovation, innovation challenges and tournaments. To leverage the ""wisdom of crowds"", crowdsourcing platforms that enable heterogeneous knowledge sharing in crowds lead to novel solution generation by individuals in the crowd. Based on the associative variety memory model of creativity, the authors hypothesize that when a crowd contributes a heterogeneous knowledge in form of a variety of knowledge associations, individual crowd members tend to generate solutions that are more novel. In contrast to the brainstorming view that focuses on ideas as knowledge, the authors propose, test, find and elaborate on implications of crowd sharing of heterogeneous knowledge for the generation of innovation, i.e. novel ideas. The authors coded and analyzed all the posts in 20 innovation challenges leveraging online temporary crowds that were structured to foster knowledge sharing as part of the idea generation process. The analysis shows a positive relationship between the variety of knowledge associations contributed by the crowd and the generation of novel solutions by individuals in the crowd. Further, the variety of knowledge associations contributed by the crowd has a stronger relationship with novel solution generation than the number of associations generated by the crowd, i.e. variety of knowledge has a greater impact than either the quantity of knowledge or the number of solution-ideas shared. The authors offer four implications and several future directions for research on the new organizational form of online crowds. Design/methodology/approach The authors coded and analyzed all the posts in 20 innovation challenges. They also designed and ran these challenges in collaboration with corporate sponsors. The ideas in the challenge were rated by senior executive at each company using a creative forecasting method. Findings The variety of knowledge associations contributed by the crowd has a stronger relationship with novel solution generation than the number of associations generated by the crowd, i.e. variety of knowledge has a greater impact than either the quantity of knowledge or the number of solution-ideas shared. Originality/value The authors believe that we are the first empirical paper to emphasize and show that associative variety of knowledge sharing in crowds has impact on novel idea generation by crowds. This view is counter to ""electronic brainstorming"" view where crowd is asked to just generate these ideas and often just submit their ideas to the sponsor. Their view also goes beyond knowledge refinement of ideas by crowds to more of knowledge integration by crowds.";Ref075
Car-hailing platform governance is an emerging topic of research and practice. The governance of the data-driven platform economy is challenging the research paradigm of competition regulation in the context of open innovation. This research is trying to reveal the market allocation structure of China's online car-hailing industry from the perspective of personal data allocation by the study of Application Programming Interface (API) of sample platforms. On the basis of the networked nature of personal data allocation via APIs, this research constructs a mathematical model of the edge weight of data resource connections between platforms. Furthermore, this research optimises the structural hole analysis of complex networks to discuss the state of personal data resource allocation in China's car-hailing industry. Results reveal that there are obvious structural holes within the sample network. When compared with related indicators, we found that accessing personal data resources is an essential component of the sample network competition capability and sustainable innovation. Social media platforms and online payment platforms more greatly impact car-hailing platform competition than other types of platforms within the multi-sided market context. This research offers a research perspective of personal data allocation for further study of competition, regulation and sustainable innovation of data-driven platform economies.;Ref076
One of the main challenges of open innovation communities is how to create value from shared content either by selecting those ideas that are worthy of pursuit and implementation or by identifying the users' preferences and needs. These tasks can be done manually when there is an overseeable amount of content or by using computational tools when there are massive amounts of data. However, previous studies on text mining have not dealt with the identification of unique attributes, which can be defined as those contributions that are inextricably linked with a specific tag or category within open innovation websites. The uniqueness of these ideas means that they can only be obtained through a selection of one choice among several alternatives. To obtain such unique ideas and thus to also obtain innovations, this paper proposes a novel methodology called co-occurrence differential analysis. The proposed methodology combines traditional co-occurrence analysis with additional statistical processing to obtain the unique attributes and topics associated with different alternatives. The identification of unique content provides valuable information that can reveal the strengths and weaknesses of several options in a comparative fashion.;Ref077
Social media are essentially changing the way firms communicate, create and collaborate in and for innovation. In this special issue introductory article, we take stock of the robust multi-faceted nature of research and practice at the intersection of social media (SM) and innovation. We introduce the nine papers included in this special issue and highlight the rich variety of their contribution with reference to our organising framework. Diagnosing from a strategic perspective, we position SM strategy in and for innovation as an overlapping interaction between dynamic capabilities (sensing, seizing, reconfiguration) and the level of stakeholder engagement (macro, meso, micro). We explain how each interaction holds distinctive synergy in an open and collaborative innovation process. This organising framework shows how the malleable nature of SM creates opportunities for firms to engage widely distributed knowledge sources, enhance innovation capabilities and empower internal human resources towards an open and collaborative culture. Yet, we warn that all is not as rosy as it seems and a purposeful and coherent strategy that delivers distinctive 'co-ownership' experiences is quintessential ingredient to realise profits from SM use in innovation.;Ref078
With firms' increasing use of social media platforms, such as online user innovation communities (OUICs), customers are actively participating in firm-sponsored innovation activity by posting and commenting on new ideas for improving the firms' products and services, or to develop new ones. While it has been suggested that OUICs promote user interactions, it is largely unclear how other users' feedback may stimulate a focal user's contribution to such OUICs. Drawing on a media usage theory, we identify multifaceted benefits from user feedback that are cognitive, integrative and affective in the archival comments received by a focal user, and examine their individual and joint impacts on the user's future contribution in terms of both ideating and commenting behavior. We conduct a longitudinal study by collecting a large-scale, quantitative data set from a leading OUIC between 2008 and 2015, which reveals novel findings on the nuanced role of user feedback on social media in stimulating innovation.;Ref079
Numerous reports have been published concerning the conditions under which a firm should rely on crowdsourcing for its innovation processes. This choice is the first order problem of crowdsourcing. Yet, once the decision to crowdsource has been made, the seeker must still decide whether to proceed internally with a proprietary platform, or to rely on the use of an open, external platform. This is the second order problem of crowdsourcing for which a theoretical analysis is offered in the present study. The conditions under which the use of an open, intermediary platform can be considered more appropriate than an exclusive, proprietary platform are analyzed. In particular, the role of transaction costs, network externalities and internal competencies are examined. Following this analysis, a decision-making model is proposed.;Ref080
"Firms are increasingly leveraging social media tools to access knowledge from external actors, particularly customers and other users, to facilitate the innovation process and firm performance. Yet empirical research investigating the impact of external knowledge sourced via social media tools is scant; empirical studies that do exist are mixed, leading to calls for research into the conditions under which knowledge flows via social media from external actors contribute to innovation and firm performance. Using a large-scale survey of firms in Tasmania, Australia, this study examines how external knowledge flows from market-based actors sourced by social media influence innovation and business performance, and the extent to which modem human resource management (HRM) practices moderate this relationship. We find that while knowledge flows from market-based actors are positively related to innovativeness, the relationship between external knowledge flows via social media and innovativeness depends on the importance a firm places on modern HRM practices: a significant positive relationship exists between knowledge sourced via social media and innovativeness when firms attach high importance to modern HRM practices. In contrast, there is no significant relationship in firms in which modem HRM practices are of low importance. The study also shows that social media serves as a mediator for the effect of external knowledge flows on firm innovativeness when firms attach high importance to modern HRM practices. Furthermore, while the results demonstrate that innovativeness and firm performance are positively related, innovativeness does not translate into improved firm performance in firms that attach low importance to modern HRM practices. Taken together, the findings underscore the importance of modem HRM practices to enable knowledge inflows via social media to influence innovativeness, and innovativeness to translate into productivity benefits.";Ref081
As the concept of co-creation has evolved in the innovation management literature its meaning has become ambiguous and the boundaries between it and the concept of open innovation have become opaque. The purpose of this paper is to more clearly define the concept of co-creation and to articulate how it differs from and relates to the concept of open innovation. Scholars are divided as to whether co-creation is a subsidiary concept of open innovation, a surrogate concept that is essentially indistinguishable from open innovation, or a separate concept that developed independently but was subsequently intermingled and interfused with open innovation. This paper addresses this scholarly confusion by conducting a systematic two-stage review of the innovation management literature, commencing with of a 'broad brush' bibliometric analysis, focused on the origins and evolution of co-creation and open innovation, followed by a 'deep dive' literature review in which the two concepts were rigorously compared. By proposing a cogent definition and taxonomy of co-creation, and thereby distinguishing it from open innovation, the paper goes beyond the current state of the literature and provides a more robust basis for future research.;Ref082
The question of how important firms' investments in digital communication formats are for the commercial success of new products remains unexplored in the product innovation management literature. Drawing on reactance theory, the authors examine the extent to which investments in social media communication and online advertising are related to the sales volume and profits of new products within six months of being launched. Using dyadic survey data, an analysis of new products launched by 122 consumer durable goods firms reveals that sales volume and profits of new products are associated with (1) social media communication in a positive but diminishing shape, and (2) online advertising in an inverted U-shape. Further analyses show that those curvilinear relationships are steeper for social media communication and flatter for online advertising at respective (1) higher levels of customer product involvement and (2) lower levels of product superiority. The results imply that there is an optimal level of investment in social media communication and online advertising, with the optimum dependent on a new product's consumer involvement and superiority levels.;Ref083
Energy utility firms operate under varying mandates throughout most of the world and typically must operate reliably with long planning cycles and requirements to meet bureaucratic scrutiny and regulatory toll gating to achieve both discrete plan approvals as well as their ongoing licenses to operate. One vehicle for gaining external insights and involving the stakeholders is crowdsourcing. Energy utility firms have a set of distinguishing characteristics (i.e. regulatory processes and stakeholder groups) that they must consider when implementing crowdsourcing activities to aid their planning and innovation strategies. To achieve constructive participation requires understanding and engaging the motivations of the population from which a firm wishes to draw input. We assert that customers' interest, facilitated by digital age communication channels, can provide utility operators with an accessible, valuable resource to assist a wide range of planning and innovation activities. We use the Self-Determination Theory (SDT) lens, grounded by a set of in-depth interviews with utility industry professionals, to articulate motivations for members of the external customer community to provide value to the firms through crowdsourcing activities. We develop five propositions that collectively identify how energy firms should use SDT elements to design crowdsourcing activities.;Ref084
Despite increasing attention to the influence of customer involvement and social media in developing innovation in small- and medium-sized enterprises (SMEs), few studies have specifically investigated how to improve the effectiveness of social media-based customer involvement. Drawing on the knowledge-based view, social network and capability theories, we address this question by arguing that Social Customer Relation Management (CRM) enhances the effect of social media-based customer involvement upon innovation. Two key capabilities further enhance the moderating effect of Social CRM: social media network and customer information processing capabilities. The results from a longitudinal dataset of 317 SMEs indicate that SME customer involvement, enabled by Social CRM, social media network and customer information processing capabilities increases innovation. These findings have important implications for researchers and managers interested in enhancing the efficacy of SME customer involvement using social media.;Ref085
"This study explores the potential of crowdfunding as a tool for achieving ""citizen co-funding"" of public projects. Focusing on philanthropic crowdfunding, we examine whether collaborative projects between public and private organizations are more successful in fundraising than projects initiated solely by private organizations. We argue that government involvement in crowdfunding provides some type of accreditation or certification that attests to a project's aim to achieve public rather than private goals, thereby mitigating information asymmetry and improving mutual trust between creators (i.e., private sector organizations) and funders (i.e., crowd). To support this argument, we show that crowdfunding projects with government involvement achieved a greater success rate and attracted a greater amount of funding than comparable projects without government involvement. This evidence shows that governments may take advantage of crowdfunding to ""co-fund"" public projects with the citizenly for addressing the complex challenges that we face in the twenty-first century.";Ref086
"Firms are increasingly engaging in crowdsourcing for innovation to access new knowledge beyond their boundaries; however, scholars are no closer to understanding what guides seeker firms in deciding the level at which to acquire rights from solvers and the effect that this decision has on the performance of crowdsourcing contests. Integrating property rights theory and the problem-solving perspective while leveraging exploratory interviews and observations, we build a theoretical framework to examine how specific attributes of the technical problem broadcast by firms affect the seekers' choice between alternative intellectual property rights (IPR) arrangements that call for acquiring or licensing-in IPR from external solvers (i.e., with high and low degrees of ownership, respectively). Each technical problem differs in the knowledge required to be solved as well as in the stage of development of the innovation process and seeker firms pay great attention to such characteristics when deciding about the IPR arrangement they choose for their contests. In addition, we analyze how this choice between acquiring and licensing-in IPR, in turn, influences the performance of the contest. We empirically test our hypotheses analyzing a unique dataset of 729 challenges broadcast on the InnoCentive platform from 2010 to 2016. Our results indicate that challenges related to technical problems in later stages of the innovation process are positively related to the seekers' preference toward IPR arrangements with a high level of ownership, while technical problems involving a higher number of knowledge domains are not. Moreover, we found that IPR arrangements with a high level of ownership negatively affect solvers' participation and that IPR arrangement play a mediating role between the attributes of the technical problem and the solvers' self-selection process. Our paper contributes to the open innovation and crowdsourcing literature and provides practical implications for both managers and contest organizers.";Ref087
Taking the knowledge-based view of the firm as its starting point, and acknowledging that knowledge can lie outside the firm, this research extends our understanding of how the growing social media trend can contribute to open innovation. It focuses specifically on small and medium-sized enterprises (SMEs), which tend to be resource constrained and might benefit particularly from leveraging social media platforms. The authors bring forward the notion that people flock to social media because they are motivated by a desire for social interaction. Indeed, the findings suggest that SMEs that put effort into connecting customers on social media - which the authors refer to as having a 'social strategy' - are likely to reap both customers' involvement in innovation on social media and new knowledge of value for innovation. Examining differences between social media platforms used primarily for personal purposes and those used primarily for professional purposes, the authors find that a social strategy is more effective in the first category than in the second. This probably reflects differences in the social identities that people adopt on these two types of social media platforms.;Ref088
This paper aims to contribute to the debate on Open Innovation in the age of Big Data by shedding new light on the role that social networks can play as enabling platforms for tourists' involvement and sources for the creation and management of valuable knowledge assets. The huge amount of data generated on social media by tourists related to their travel experiences can be a valid source of open innovation. To achieve this aim, this paper presents evidence of a digital tourism experience, through a longitudinal case study of a destination in Apulia, a Southern European region. The findings of the study demonstrate how social Big Data could open up innovation processes that could be of support in defining sustainable tourism experiences in a destination.;Ref089
Open innovation has become an emergent topic in innovation management founded on the assumption that the development of innovative processes may lie outside the companies' boundaries. In particular, this paper has pursued to address one gap in existing research on open innovation, namely the investigation of its relationship with market orientation that promotes continual processes of innovation leading to higher customer value. Findings have shown how market-driven companies tend to overcome the classical view on relying innovation on internal Research & Development departments in order to become more permeable to the outside environment. In fact, market-driven companies develop distinctive outside-in, inside-out, and spanning capabilities that encourage the matching and integration of internal resources with external partners and open innovation emerges as an essential driver to preserve and improve their competitiveness.;Ref090
Online communities can be an attractive source of ideas for product and process innovations. However, innovative user-contributed ideas may be few. From a perspective of harnessing big data for inbound open innovation, the detection of good ideas in online communities is a problem of detecting rare events. Recent advances in text analytics and machine learning have made it possible to screen vast amounts of online information and automatically detect user-contributed ideas. However, it is still uncertain whether the ideas identified by such systems will also be regarded as sufficiently novel, feasible and valuable by firms who might decide to develop them further. A validation study is reported in which 200 posts from an online home brewing community were extracted by an automatic idea detection system. Two professionals from a brewing company evaluated the posts in terms of idea content, idea novelty, idea feasibility and idea value. The results suggest that the automatic idea detection system is sufficiently valid to be deployed for the harvesting and initial screening of ideas, and that the profile of the identified ideas (in terms of novelty, feasibility and value) follows the same pattern identified in studies of user ideation in general.;Ref091
Purpose Co-innovation networks face the important challenge of cultivating collective innovation outcomes while also preserving the interests of individual contributors. Addressing this challenge requires first understanding and then managing individuals' perception of co-innovation risks. The purpose of this paper is to provide a meaningful approach to addressing co-innovation risks using a valid and reliable model to assess actors' perception of risk and examine its effect on actor co-innovation behavior. Design/methodology/approach The construct of co-innovation risk from the actor's perspective was conceptualized based on a case study of a co-innovation network. The measurement items underwent a pilot study and a field study to establish the necessary reliability and validity. This paper also empirically assesses a nomological network that illustrates the effect of risk on co-innovation behavior with a moderating effect of prior experience. Findings Co-innovation actors perceived four different individual risks: time, social, intellectual property right, and financial. The empirical results from the field study demonstrate a high degree of confidence in both translation validity and criterion-related validity. Negative effects of perceived co-innovation risk on actors' continuous intention to ideate, collaborate, and communicate in co-innovation were evident, but prior experience moderated these relationships. Originality/value Drawing from co-innovation and individual risk literature, this study develops and validates a general instrument to measure co-innovation risk from the actors' perspective. The result is a reliable and parsimonious instrument with 15 items, which contributes significantly to future empirical investigations of co-innovation behavior on virtual platforms.;Ref092
Effective workgroups engage in team boundary spanning, that is, using communication ties as conduits to critical external resources. The proliferation of enterprise social media (ESM) and the associated increase in visibility of people, content, and interactions, has resulted in a widespread assumption that unlimited visibility improves boundary spanning. Consequently, the ESM literature has generally ignored the sentry functions of teams and failed to examine the possible strategic nature of visibility choices by ESM groups. Using log and content data from 655 ESM-based workgroups at a multinational enterprise, we contribute a deeper understanding of the distinct ways that ESM visibility-bounded or unbounded-is leveraged strategically to evoke diverse network structures, which in turn have implications for distinct boundary-spanning activities. Practically, these findings show that ESM present a unique opportunity for workgroups to simultaneously sustain multiple virtual spaces-with varying levels of visibility-through which they can manage their diverse boundary-spanning goals.;Ref093
This article examines unconventional entrepreneurship (accidental or end-user entrepreneurs) to determine whether the decision-making phase of the entrepreneurial process is collective. The analysis identified a virtuous circle that links knowledge, innovation, judgment, and decision making to collective interactions built on passion, experience, and sharing. To study food bloggers as unconventional user entrepreneurs, data were collected and analyzed using netnographic analysis. A supplementary online survey of food bloggers and their followers was also performed. Three groups of food bloggers are identified: amusing, functional, and fervent. Only fervent food bloggers, thanks to the virtuous circle built on passion, experience, and sharing as enablers, can be considered accidental or end-user entrepreneurs.;Ref094
Consumption-based virtual communities are nowadays a common place on the Internet where individuals share and acquire knowledge on food and specific food-related issues such as preparation and cooking. The objective of this research is to propose and test a model that illustrates the role of motivation to self-present to and learn from the community regarding consumers' willingness to interact in virtual food communities. The study investigates 1) the associations between the pre-existing consumer interests in food and general online interaction, and consumers' willingness to interact in virtual food communities, and 2) the mediating role of consumers' motivation to self-present to and learn from the community in explaining these associations. An online questionnaire (n = 980) was conducted among Danish consumers. Results showed that motivation to learn and motivation to self-present are strong mediators of the relationships especially between food involvement and behavioural interaction intention. The chance to learn from and present oneself to the community are reasons why consumers engage in interaction in virtual food communities, given their pre-existing interest in food and, to some extent, their general online interaction propensity. Virtual food communities should therefore provide consumers with the opportunity to present themselves as skilled individuals to the community and the opportunity to learn from the information available from that community. Still, community managers must keep in mind that these opportunities will only appeal to food involved consumers with a certain online interaction propensity.;Ref095
"The Internet has dramatically changed everyone's access to information, knowledge and other people. In many fields, this has resulted in an opening up of business models, products, services and organizations. Examples include open academic publishing, open software and open innovation. Experts are increasingly aware that a significant amount of knowledge and experience exists outside of their companies and institutions, which used to be the exclusive creator, aggregator and curator of knowledge and the sole places of innovation. Institutions are responding by reducing their boundaries and are opening up to the outside. A particularly potent technology for engaging people and capturing their knowledge has been social media. However, theories of participation and participatory approaches to shaping the built environment greatly predate even the Internet. In this paper, we present a conceptual framework for open and creative designing. A proven three-tier architecture, various theoretical levels of participation and an abstract view on social media tools have been used to develop an original, flexible, generative, ""one size does not fit all"" platform that can be used for the optimal collection of external information and knowledge. The platform allows for simple enhancement of in-house information systems (IS) with socially rich components. We are finding such a modular approach as very flexible for organizations that host the planning processes and that the application of social media technology creates very low barriers for the public to contribute. (C) 2017 Elsevier Ltd. All rights reserved.";Ref096
Despite rigorous empirical research exploring the changes in innovation dynamics triggered by Social Media Networks (SMNs), the benefits coming from the use of these digital platforms for knowledge search in innovative activities for small to medium enterprises (SMEs) are still unexplored. Customers become the new trailblazers. Thus, by adopting a customer led innovation perspective, this paper seeks to measure the effect on return on investment (ROI) of the use of SMNs as external drivers for supporting internal innovation search processes. On the basis of the extant literature on information system and social network analysis, the research describes and evaluates the multidimensional activities interwoven into the open innovation process, driven by integrating the five constructs of structural dimension, relational behaviour, cognitive dimension, knowledge transfer, and legitimization into our hypothesised conceptual model. Empirical research was conducted via the Classification Regression Tree (CART) on a sample of 2548 SMEs belonging to the fashion industry and based in Italy and in the United Kingdom. This study is of importance to academics and practitioners due to the increasing significance taken on by the adoption of social media networks in the fashion industry to improve innovation search. Recommendations are made to fashion managers and social media experts to support the planning and development of new products and services. New contributions are offered to the innovation and knowledge management literature. In addition, theoretical implications and avenues for future research are also considered. (C) 2017 Elsevier Inc. All rights reserved.;Ref097
Innovation scholars have long recognized entrepreneurship is imitative', whereas the commercialization of novelty is innovative'. Thus they are highly distinctive skill-sets. Entrepreneurship, first, involves optimizing market sentiment for pure profit sometimes to the point of catastrophe and even fraudulence in many markets. These include: payment protection insurance (PPI) to flash crashes', automotive emission defeat devices', corporate bribery settlements, social media hacking', fake news' and a litany of other infractions and catastrophes. Innovation, by contrast, is more explorative and team-reliant. Even if patenting betrays the hope for commercialization on markets, patented innovation frequently fails. Some academic innovators even profess a preference for prizes over profits. Second, this means that collective bonding' among entrepreneurs, in the form of claimed entrepreneurial ecosystems', is often based on a single customer platform or as a supplier of a highly specialist type of imitative' service from identikit pizza chains to me-too' smartphone apps. Through the latter, fused with artificial intelligence some interactive machine-learning services have long-existed as postsocial' algorithms serving customers of, for example, investment banks in stock and currency markets. Finally, entrepreneurship is fundamentally competitive, individualistic and non-solidaristic, whereas open innovation' was born from the practices of open science' and the collegiate tradition of research. Accordingly, entrepreneurial ecosystems' can display more closure than RIS set-ups. This special issue explores aspects of these ecosystem platforms and their implications for emergent forms of urban and regional evolution in the near and nearly present future.;Ref098
This article revisits the concept of the public sector innovation champion. Reflecting changes in sectoral and wider contexts and conceptual advances in the innovation literature, it suggests that much of the underlying thinking behind the original article is of continuing relevance and suggests a number of directions in which this could now be extended, particularly in terms of the nature of innovation and the role of champions therein. It concludes by considering how innovation champions of the future will require a new skillset which draws on new and emergent technologies to align diverse sets of stakeholders in networks of open innovation'.;Ref099
Government transparency and information disclosure have received increasing attention from both academics and practitioners with the development of information technologies (Hs) and the Internet. Moreover, the popularity of social media applications has provided governments, especially governments in China and other developing countries, with new opportunities and challenges associated with the administrative shift toward open innovation. The official document exchange via microblogging (ODEM) of the Haining Bureau of Justice is a practical case of government open innovation in the social media context. Based on the ODEM case, this study uses the technology-organization-environment (TOE) framework to explore the factors that drive open innovation in China. We find that the support of top managers, the access and competence of IT personnel, and the regional economic and social environments are key determinants of the emergence of open innovation in the public sector. (C) 2016 Elsevier Inc. All rights reserved.;Ref100
This study seeks to address two research questions. First, how can citizen online communities support open innovation practices in the public sector? Second, what kinds of contributions are produced through social media platforms? These questions are examined through an experimental research setting and by analyzing interactions and contributions made in a neighborhood development-oriented Facebook group. This study contributes to the field of open innovation in the public sector by highlighting the networked nature of citizen participation and emphasizing citizens' capacity for meaningful contributions. (C) 2016 Elsevier Inc. All rights reserved.;Ref101
The concepts of open innovation and big data have been largely explored, but little research focused on the use of big data for open innovation activities. We explore how big data obtained by social media can be useful for open innovation activities in Television (TV) domain. Results demonstrate that the analysis of open data coming from social media data allows TV managers to identify the specific TV contents and Twitter elements, which are able to increase the social media traffic related to the show and gain insights for innovating the design of the TV show's episodes or seasons.;Ref102
This article proposes that mass collaborative knowledge management (MCKM) and social media networks (SMNs) tend to enhance productivity in small- and medium-sized enterprises (SMEs). A case study methodology was employed to highlight the complementary advantages of MCKM related to the use of SMNs in a small business operating in southern Italy. The research aims to contribute to the ongoing discussion on MCKM. This article offers a fresh perspective by discussing the relevance of this construct for SMEs.;Ref103
"Motivated by the multiple 'success stories' of the open innovation paradigm in the private sector, and also by the increasing complexity of social problems and needs, the public sector has started moving in this direction, attempting to exploit the extensive knowledge of citizens for the development of innovations in public policies and services. As the direct transfer of open innovation methods from the private sector to the public sector is not possible, it is necessary to develop effective 'citizen-sourcing' methods, which address the specific needs of the public sector, and then analyze and evaluate them from various political and management sciences' perspectives. This paper makes a two-fold contribution in this direction: i) It evaluates a novel method of monitoring relevant social media (e.g. political blogs, news websites, and also Facebook, Twitter, etc. accounts) by government agencies, by retrieving and making advanced processing of their content, and extracting from it external knowledge about specific domains of government activity or public policies of interest, in order to promote and support open innovation; ii) For this purpose it develops a multi-perspective evaluation framework, based on sound theoretical foundations from the political and management sciences, which can be of wide applicability; it includes three evaluation perspectives: a political perspective (based on the 'wicked' social problems theory from the political sciences), a crowd-sourcing perspective (based on previous management sciences research on crowd sourcing) and a diffusion perspective (based on Roger's diffusion of innovation theory from management sciences). The above evaluation provides interesting insights into this novel method of promoting and supporting open innovation in the public sector through social media monitoring, revealing its capabilities and strengths, and at the same time its problems and weaknesses as well, and also ways/interventions for addressing the latter. (C) 2016 Published by Elsevier Inc.";Ref104
"As social media attract increasing attention from executives and find varied applications in different industries, research on the subject has been investigating the antecedents, moderators, mediators and outcomes of social media adoption, as well as impacts on the organizational and individual level. However, relatively little attention has been paid to the discussion of the new sources of social media innovation-i.e., the upstream originators of social media solutions. Such innovations of a possibly disruptive nature often originate from startups, which can constitute a significant driver for social media development and can influence the adopting incumbents' behaviors. This study aims at shedding first light on social media-based solutions developed and delivered by startups. By surveying the Crunchbase database, we identified 724 funded social media startups, which were further classified into six categories, namely: (i) social network; (ii) social commerce; (iii) social recruitment; (iv) social management; (v) social loyalty and advocacy; (vi) contact management. Our findings show how the large majority of startups deliver social network solutions to incumbents, followed by social media management applications. The findings also shed light on emerging approaches to value generation and open innovation from social media related to and driven by startups. (C) 2016 Elsevier Ltd. All rights reserved.";Ref105
